Combinaison,nom_animal_a,nom_animal_b,nom_animal_c,embedding_GloVe
"(0, 1, 17)",aardvark,antelope,deer,"['elk', 'moose', 'whitetail', 'hunting', 'pronghorn', 'white-tailed', 'bison', 'hunters']"
"(0, 1, 18)",aardvark,antelope,dogfish,"['elk', 'pronghorn', 'deer', 'sturgeon', 'bighorn', 'antelopes', 'trout', 'white-tailed']"
"(0, 1, 19)",aardvark,antelope,dolphin,"['dolphins', 'whale', 'deer', 'whales', 'elk', 'lions', 'shark', 'sharks']"
"(0, 1, 20)",aardvark,antelope,dove,"['deer', 'elk', 'doves', 'pheasant', 'buck', 'eagle', 'buffalo', 'quail']"
"(0, 1, 21)",aardvark,antelope,duck,"['deer', 'elk', 'ducks', 'pheasant', 'quail', 'goose', 'moose', 'buffalo']"
"(0, 1, 22)",aardvark,antelope,elephant,"['deer', 'elephants', 'elk', 'buffalo', 'rhino', 'lions', 'lion', 'moose']"
"(0, 1, 23)",aardvark,antelope,flamingo,"['elk', 'deer', 'flamingos', 'buffalo', 'moose', 'zebra', 'pheasant', 'pronghorn']"
"(0, 1, 24)",aardvark,antelope,flea,"['deer', 'elk', 'hunt', 'hunting', 'buck', 'Flea', 'mule', 'buffalo']"
"(0, 1, 25)",aardvark,antelope,frog,"['deer', 'frogs', 'elk', 'moose', 'elephant', 'bird', 'mule', 'lion']"
"(0, 1, 26)",aardvark,antelope,frog,"['deer', 'frogs', 'elk', 'moose', 'elephant', 'bird', 'mule', 'lion']"
"(0, 1, 27)",aardvark,antelope,fruitbat,"['pronghorn', 'elk', 'moose', 'antelopes', 'mule', 'Antelope', 'bighorn', 'javelina']"
"(0, 1, 28)",aardvark,antelope,giraffe,"['giraffes', 'zebra', 'deer', 'zebras', 'antelopes', 'kudu', 'wildebeest', 'elk']"
"(0, 1, 29)",aardvark,antelope,girl,"['woman', 'girls', 'lady', 'deer', 'wild', 'boy', 'chick', 'naked']"
"(0, 1, 30)",aardvark,antelope,gnat,"['deer', 'elk', 'gnats', 'mule', 'pronghorn', 'antelopes', 'pheasant', 'herds']"
"(0, 1, 31)",aardvark,antelope,goat,"['goats', 'sheep', 'deer', 'elk', 'buffalo', 'cow', 'herd', 'herds']"
"(0, 1, 32)",aardvark,antelope,gorilla,"['gorillas', 'deer', 'elk', 'rhino', 'elephant', 'moose', 'lions', 'lion']"
"(0, 1, 33)",aardvark,antelope,gull,"['elk', 'gulls', 'heron', 'deer', 'pronghorn', 'moose', 'geese', 'pheasant']"
"(0, 1, 34)",aardvark,antelope,haddock,"['salmon', 'halibut', 'trout', 'hake', 'elk', 'venison', 'whitefish', 'fillets']"
"(0, 1, 35)",aardvark,antelope,hamster,"['deer', 'rabbit', 'rabbits', 'elk', 'goats', 'guinea', 'hamsters', 'sheep']"
"(0, 1, 36)",aardvark,antelope,hare,"['deer', 'elk', 'pheasant', 'moose', 'pronghorn', 'coyote', 'hares', 'mule']"
"(0, 1, 37)",aardvark,antelope,hawk,"['deer', 'elk', 'hawks', 'eagle', 'buck', 'falcon', 'eagles', 'bird']"
"(0, 1, 38)",aardvark,antelope,herring,"['elk', 'salmon', 'trout', 'deer', 'roe', 'fish', 'moose', 'sturgeon']"
"(0, 1, 39)",aardvark,antelope,honeybee,"['honeybees', 'elk', 'deer', 'herds', 'bees', 'pronghorn', 'bighorn', 'bee']"
"(0, 1, 40)",aardvark,antelope,housefly,"['pronghorn', 'antelopes', 'elk', 'houseflies', 'deer', 'pheasant', 'mule', 'eland']"
"(0, 1, 41)",aardvark,antelope,kiwi,"['deer', 'elk', 'kiwis', 'buffalo', 'wild', 'moose', 'buck', 'goats']"
"(0, 1, 42)",aardvark,antelope,ladybird,"['deer', 'pronghorn', 'elk', 'zebra', 'antelopes', 'moose', 'mule', 'ladybug']"
"(0, 1, 43)",aardvark,antelope,lark,"['elk', 'deer', 'mule', 'pronghorn', 'pheasant', 'swan', 'meadow', 'buck']"
"(0, 1, 44)",aardvark,antelope,leopard,"['zebra', 'deer', 'cheetah', 'elk', 'lion', 'leopards', 'lions', 'buffalo']"
"(0, 1, 45)",aardvark,antelope,lion,"['lions', 'deer', 'elk', 'buffalo', 'moose', 'elephant', 'wolves', 'leopard']"
"(0, 1, 46)",aardvark,antelope,lobster,"['crab', 'salmon', 'elk', 'fish', 'deer', 'trout', 'buffalo', 'oysters']"
"(0, 1, 47)",aardvark,antelope,lynx,"['elk', 'deer', 'pronghorn', 'bison', 'caribou', 'bighorn', 'moose', 'wolves']"
"(0, 1, 48)",aardvark,antelope,mink,"['elk', 'deer', 'moose', 'pronghorn', 'caribou', 'mule', 'wolves', 'sheep']"
"(0, 1, 49)",aardvark,antelope,mole,"['deer', 'elk', 'moles', 'mule', 'goats', 'buffalo', 'coyote', 'hunt']"
"(0, 1, 50)",aardvark,antelope,mongoose,"['deer', 'pronghorn', 'antelopes', 'elk', 'gazelle', 'rhino', 'bighorn', 'impala']"
"(0, 1, 51)",aardvark,antelope,moth,"['deer', 'moths', 'elk', 'prey', 'bird', 'mule', 'pheasant', 'pronghorn']"
