Combinaison,nom_animal_a,nom_animal_b,nom_animal_c,embedding_GloVe
"(0, 1, 30)",aardvark,antelope,gnat,"['oryx', 'kudu', 'antelopes', 'hyena', 'eland', 'wildebeest', 'gemsbok']"
"(0, 1, 31)",aardvark,antelope,goat,"['goats', 'antelopes', 'kudu', 'boar', 'giraffe', 'oryx', 'bison']"
"(0, 1, 32)",aardvark,antelope,gorilla,"['giraffe', 'hyena', 'baboon', 'rhinoceros', 'kudu', 'antelopes', 'elephant']"
"(0, 1, 33)",aardvark,antelope,gull,"['oryx', 'kudu', 'hyena', 'antelopes', 'jackal', 'heron', 'gemsbok']"
"(0, 1, 34)",aardvark,antelope,haddock,"['oryx', 'kudu', 'springbok', 'gemsbok', 'antelopes', 'hyena', 'bison']"
"(0, 1, 35)",aardvark,antelope,hamster,"['giraffe', 'baboon', 'hyena', 'porcupine', 'opossum', 'hippo', 'armadillo']"
"(0, 1, 36)",aardvark,antelope,hare,"['antelopes', 'oryx', 'hares', 'jackal', 'hyena', 'boar', 'kudu']"
"(0, 1, 37)",aardvark,antelope,hawk,"['jackal', 'oryx', 'hyena', 'antelopes', 'porcupine', 'gazelle', 'kudu']"
"(0, 1, 38)",aardvark,antelope,herring,"['oryx', 'antelopes', 'kudu', 'elk', 'roe', 'springbok', 'hyena']"
"(0, 1, 39)",aardvark,antelope,honeybee,"['hyena', 'rhinoceros', 'antelopes', 'tapir', 'oryx', 'baboon', 'mammal']"
"(0, 1, 40)",aardvark,antelope,housefly,"['hyena', 'antelopes', 'oryx', 'eland', 'kudu', 'warthog', 'jackal']"
"(0, 1, 41)",aardvark,antelope,kiwi,"['springbok', 'antelopes', 'giraffe', 'porcupine', 'hyena', 'kudu', 'oryx']"
"(0, 1, 42)",aardvark,antelope,ladybird,"['oryx', 'hyena', 'antelopes', 'giraffe', 'eland', 'rhinoceros', 'springbok']"
"(0, 1, 43)",aardvark,antelope,lark,"['antelopes', 'oryx', 'kudu', 'hyena', 'jackal', 'giraffe', 'gemsbok']"
"(0, 1, 44)",aardvark,antelope,leopard,"['giraffe', 'cheetah', 'hyena', 'antelopes', 'leopards', 'kudu', 'zebra']"
"(0, 1, 45)",aardvark,antelope,lion,"['hyena', 'giraffe', 'antelopes', 'oryx', 'rhinoceros', 'kudu', 'leopards']"
"(0, 1, 46)",aardvark,antelope,lobster,"['porcupine', 'boar', 'crayfish', 'elk', 'buffalo', 'kudu', 'crab']"
"(0, 1, 47)",aardvark,antelope,lynx,"['oryx', 'antelopes', 'hyena', 'ibex', 'leopards', 'jackal', 'caracal']"
"(0, 1, 48)",aardvark,antelope,mink,"['antelopes', 'oryx', 'hyena', 'porcupine', 'opossum', 'muskrat', 'jackal']"
"(0, 1, 49)",aardvark,antelope,mole,"['hyena', 'porcupine', 'oryx', 'antelopes', 'armadillo', 'baboon', 'opossum']"
"(0, 1, 50)",aardvark,antelope,mongoose,"['antelopes', 'oryx', 'hyena', 'kudu', 'jackal', 'warthog', 'gazelle']"
"(0, 1, 51)",aardvark,antelope,moth,"['antelopes', 'hyena', 'porcupine', 'oryx', 'rhinoceros', 'moths', 'eland']"
